CodLift;DataEvent;Flags;Num;Name
150;2020-02-05 12:07:29.000;16;130;Многократный реверс дверей
150;2020-02-05 12:07:29.000;16;131;Проникновение в МП
150;2020-02-05 12:07:29.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 12:07:29.000;16;165;Открыто МП
150;2020-02-05 12:07:29.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 12:08:10.000;18;130;Многократный реверс дверей
150;2020-02-05 12:08:10.000;18;131;Проникновение в МП
150;2020-02-05 12:08:10.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 12:08:10.000;18;165;Открыто МП
150;2020-02-05 12:08:10.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 12:08:10.000;18;236;Резервное питание ЛБ
150;2020-02-05 12:08:10.000;16;213;Нет связи
150;2020-02-05 12:08:37.000;16;236;Резервное питание ЛБ
150;2020-02-05 12:10:19.000;16;165;Открыто МП
150;2020-02-05 13:02:19.000;18;165;Открыто МП
150;2020-02-05 13:03:36.000;18;236;Резервное питание ЛБ
150;2020-02-05 13:04:02.000;16;236;Резервное питание ЛБ
150;2020-02-05 13:08:49.000;18;213;Нет связи
150;2020-02-05 13:08:49.000;16;130;Многократный реверс дверей
150;2020-02-05 13:08:49.000;16;131;Проникновение в МП
150;2020-02-05 13:08:49.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:08:49.000;16;165;Открыто МП
150;2020-02-05 13:08:49.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 13:17:12.000;18;130;Многократный реверс дверей
150;2020-02-05 13:17:12.000;18;131;Проникновение в МП
150;2020-02-05 13:17:12.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:17:12.000;18;165;Открыто МП
150;2020-02-05 13:17:12.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 13:17:12.000;16;213;Нет связи
150;2020-02-05 13:17:21.000;18;213;Нет связи
150;2020-02-05 13:17:21.000;16;130;Многократный реверс дверей
150;2020-02-05 13:17:21.000;16;131;Проникновение в МП
150;2020-02-05 13:17:21.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:17:21.000;16;165;Открыто МП
150;2020-02-05 13:17:21.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 13:17:26.000;2;41;Кабина стоит
150;2020-02-05 13:17:37.000;18;130;Многократный реверс дверей
150;2020-02-05 13:17:37.000;18;131;Проникновение в МП
150;2020-02-05 13:17:37.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:17:37.000;18;165;Открыто МП
150;2020-02-05 13:17:37.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 13:17:37.000;16;213;Нет связи
150;2020-02-05 13:17:53.000;18;213;Нет связи
150;2020-02-05 13:17:53.000;16;130;Многократный реверс дверей
150;2020-02-05 13:17:53.000;16;131;Проникновение в МП
150;2020-02-05 13:17:53.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:17:53.000;16;165;Открыто МП
150;2020-02-05 13:17:53.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 13:36:02.000;18;130;Многократный реверс дверей
150;2020-02-05 13:36:02.000;18;131;Проникновение в МП
150;2020-02-05 13:36:02.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:36:02.000;18;165;Открыто МП
150;2020-02-05 13:36:02.000;18;178;Отсутствует обмен с MCS
150;2020-02-05 13:36:02.000;16;213;Нет связи
150;2020-02-05 13:36:02.000;2;41;Кабина стоит
150;2020-02-05 13:41:29.000;18;213;Нет связи
150;2020-02-05 13:41:29.000;16;130;Многократный реверс дверей
150;2020-02-05 13:41:29.000;16;131;Проникновение в МП
150;2020-02-05 13:41:29.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-05 13:41:29.000;16;165;Открыто МП
150;2020-02-05 13:41:29.000;16;178;Отсутствует обмен с MCS
150;2020-02-05 13:42:07.000;18;130;Многократный реверс дверей
